구분,2016,2017,2018,2019,2020,2021,2022,2023,위도,경도
강릉시,798,1315,1288,4082,1912,1190,821,1277,37.7525313,128.8759523
강서구,484,0,73,117,26,982,1420,61,37.5509,126.8497
강진군,281,325,252,523,434,442,456,565,34.641917,126.7669591
강화군,28,1585,0,60,52,1531,1418,1368,37.746,126.488
거제시,1758,2587,2270,1126,5429,2538,2284,4054,34.8804677,128.621207
경상남도 고성군,3535,5891,5356,1530,730,902,550,830,35.085055,128.375399
경주시,1453,211,412,1223,1383,870,1247,681,35.8556705,129.2248811
고창군,175,212,564,328,1162,899,716,720,35.4355,126.7021
고흥군,687,839,1102,2192,5638,3217,4066,4172,34.6044123,127.276384
광양시,90,147,0,0,1,0,0,0,34.9406452,127.6959512
군산시,1176,1243,1917,2156,2111,2471,2351,2444,35.9679984,126.7369036
기장군,2032,2250,3045,3535,2037,2421,2795,1562,35.2447818,129.2215462
김제시,0,0,0,0,0,0,274,264,35.803815,126.880557
김포시,105,47,95,175,24,208,357,364,37.6155683,126.7157798
남동구,732,699,0,28,0,720,842,979,37.446902,126.7315126
남해군,876,1765,1412,1003,2040,1398,2524,2548,34.8374437,127.8925589
당진시,97,281,325,295,572,697,716,540,36.8904083,126.6461833
동해시,326,158,333,339,165,402,398,376,37.5245142,129.1146302
목포시,901,430,678,672,2181,1230,1246,556,34.7903335,126.3847547
무안군,167,1238,532,538,1265,935,645,734,34.9905794,126.4812377
보령시,1620,1968,2190,2935,3029,1892,2242,2444,36.33401,126.613165
보성군,2258,1247,760,1193,515,1724,1521,2152,34.7711356,127.0798978
부산 남구,0,0,0,0,0,15,11,13,35.1050889,129.0639918
부산 동구,0,0,0,0,0,0,0,0,35.1155992,129.039936
부산 서구,0,0,0,20,85,259,351,597,35.116533,129.0145
부산 중구,329,0,0,0,133,0,0,0,35.1138002,129.0419583
부안군,938,907,1028,1851,1466,2412,2438,2674,35.7316783,126.7330195
사천시,342,356,308,574,481,645,427,686,35.003468,128.064562
사하구,445,602,138,86,1291,3290,779,1332,35.1041,128.9751
삼척시,363,142,949,1012,4636,570,488,643,37.4498745,129.1652969
서귀포시,2721,1246,2520,3939,7854,6435,11727,5731,33.252845,126.5610278
서산시,548,312,292,428,550,375,276,337,36.784499,126.450317
서울 동구,0,0,0,0,0,0,0,0,37.5931469,127.0067482
서울 서구,0,0,25,0,0,33,34,31,37.53302865,126.6430228
서울 중구,143,380,319,206,59,268,481,533,37.5545547,126.9707793
서천군,2283,1406,2241,2407,2742,2814,2576,4403,36.0800688,126.6916052
속초시,207,241,890,834,2656,1126,996,1007,38.2069574,128.5913424
수영구,0,45,20,20,37,44,60,67,35.1454,129.1127
순천시,220,100,95,221,209,236,178,397,34.9505457,127.4872992
시흥시,247,134,114,224,182,156,132,231,37.3798891,126.8032255
신안군,3220,3999,5150,5002,5188,5367,2790,5344,34.8331095,126.3522531
아산시,12,37,31,25,85,13,21,7,36.7899498,127.0026769
안산시,433,444,252,355,348,276,575,476,37.3217152,126.8308604
양양군,145,409,889,1228,2745,663,904,1545,38.0751,128.6191
여수시,3714,1295,3209,2752,4241,1196,3552,2696,34.7546257,127.659859
연수구,0,0,0,0,0,0,118,31,37.4098,126.6787
영광군,1310,1067,2453,2200,2413,1183,1028,1075,35.2769282,126.5124504
영덕군,396,712,589,2214,989,1524,1274,1264,36.4149,129.3659
영도구,283,280,56,76,108,63,398,150,35.0908,129.0678
영암군,0,155,54,15,0,44,62,91,34.800052,126.6970381
옹진군,319,100,2070,203,1789,3054,2640,2534,37.533,126.429
완도군,5928,5875,9990,9181,8728,5287,8568,8529,34.3110373,126.7553933
울릉군,379,118,120,147,193,411,445,396,37.4845293,130.9058854
울산 남구,137,0,0,0,0,0,0,0,35.53526295,129.2594949
울산 동구,541,478,469,170,537,559,592,532,35.50449425,129.4215558
울산 북구,942,520,755,112,914,890,1050,761,35.60684855,129.3702297
울주군,316,153,528,862,857,864,1396,1262,35.5222362,129.2423693
울진군,823,740,787,1926,1262,447,680,761,36.993,129.4006
장흥군,440,1095,490,1065,1527,1475,1268,2238,34.6811762,126.906996
제주시,2723,9518,9527,8058,9806,15389,5386,4968,33.4998289,126.5313902
진도군,2130,1407,5388,3462,4784,5228,5002,5918,34.4867515,126.2629264
창원시,1096,781,1005,2884,3414,1120,806,2698,35.227956,128.6818586
태안군,4899,6637,6162,6065,7428,7191,6785,6831,36.7454236,126.29836
통영시,3598,4884,2351,1972,2139,2122,2093,2052,34.854254,128.433205
평택시,40,80,95,205,242,106,103,83,36.9924966,127.1127168
포항시,679,2676,1045,1346,6864,4445,9364,1966,36.0189315,129.3429384
하동군,278,411,249,874,1232,224,295,234,35.0670735,127.7516778
함평군,137,172,150,138,262,119,92,6,35.0656537,126.5166414
해남군,1872,1460,3302,3566,6829,7989,5117,8002,34.55269,126.52431
해운대구,144,207,278,228,63,41,83,255,35.1629,129.1638
홍성군,234,366,480,209,245,468,303,457,36.6010501,126.6611667
화성시,425,531,712,524,562,986,703,908,37.1994653,126.8312632
